epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,336.527,1.00653,2.3025,1.14036,0.76341,0.30903,0.47652,0.28583,1.26515,2.90037,1.28102,0.00062,0.00062,0.00062
2,678.224,1.1366,1.89189,1.22962,0.56749,0.38194,0.39505,0.23979,1.41414,2.60499,1.50718,0.00119763,0.00119763,0.00119763
3,1028.28,1.18025,1.77308,1.24323,0.2841,0.33333,0.23131,0.13065,1.56527,2.93747,1.59315,0.0017119,0.0017119,0.0017119
4,1429.91,1.21536,1.66034,1.27297,0.31536,0.32292,0.24032,0.10848,1.68113,4.35932,1.68945,0.001703,0.001703,0.001703
5,1813.29,1.23605,1.63068,1.30789,0.32796,0.25926,0.21722,0.12898,1.84655,2.60385,1.78133,0.001604,0.001604,0.001604
6,2231.96,1.16995,1.49398,1.26659,0.53552,0.41319,0.43196,0.26966,1.34468,2.1355,1.43962,0.001505,0.001505,0.001505
7,2657.62,1.1523,1.44424,1.24002,0.59003,0.50347,0.51233,0.33053,1.28034,1.65966,1.34405,0.001406,0.001406,0.001406
8,3062.64,1.11783,1.36369,1.22169,0.52962,0.46528,0.47262,0.31405,1.36211,1.76873,1.43226,0.001307,0.001307,0.001307
9,3493.47,1.08266,1.29063,1.21132,0.6191,0.60952,0.61271,0.39655,1.10512,1.5252,1.23848,0.001208,0.001208,0.001208
10,3924.5,1.08576,1.25746,1.20924,0.7531,0.54167,0.64879,0.45339,1.16269,1.26615,1.27863,0.001109,0.001109,0.001109
11,4359.38,1.05956,1.22241,1.19636,0.61509,0.53822,0.55627,0.35791,1.18658,1.47896,1.28492,0.00101,0.00101,0.00101
12,4757.44,1.02007,1.16293,1.18834,0.77174,0.58699,0.68301,0.47843,1.03462,1.16878,1.18978,0.000911,0.000911,0.000911
13,5154.17,0.99073,1.05202,1.16418,0.70444,0.59586,0.66126,0.46068,1.09733,1.31408,1.24739,0.000812,0.000812,0.000812
14,5514.95,0.97873,1.03105,1.16421,0.732,0.63542,0.6777,0.48556,1.06343,1.11167,1.18114,0.000713,0.000713,0.000713
15,5898.39,0.93574,0.98428,1.14249,0.72956,0.6463,0.70947,0.48858,1.05797,1.09834,1.19027,0.000614,0.000614,0.000614
16,6279.6,0.90567,0.90403,1.11815,0.81244,0.61806,0.7206,0.53214,0.95997,1.00863,1.12834,0.000515,0.000515,0.000515
17,6631.8,0.87226,0.84891,1.09459,0.76099,0.65625,0.72563,0.53065,0.948,0.979,1.12162,0.000416,0.000416,0.000416
18,7046.21,0.85731,0.80616,1.08065,0.80305,0.63194,0.73133,0.52972,0.96069,0.98466,1.14624,0.000317,0.000317,0.000317
19,7422.06,0.8191,0.74958,1.05901,0.83964,0.63194,0.75549,0.55792,0.92903,0.93925,1.11012,0.000218,0.000218,0.000218
20,7841.31,0.80181,0.73004,1.05537,0.83403,0.64236,0.74972,0.55528,0.92349,0.93952,1.11411,0.000119,0.000119,0.000119
