epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,440.107,1.46726,2.66167,1.20963,0.00736,0.61627,0.16696,0.09379,1.60261,3.23284,1.22388,0.00062,0.00062,0.00062
2,901.56,1.6375,2.25355,1.33103,0.83564,0.03976,0.12489,0.07305,1.78708,3.08074,1.48002,0.00113526,0.00113526,0.00113526
3,1374.01,1.67243,2.11555,1.36235,0.06827,0.04171,0.01573,0.0046,2.22766,3.80668,1.82905,0.0015238,0.0015238,0.0015238
4,1794.84,1.72677,2.04522,1.42458,0.26772,0.18978,0.11451,0.05346,1.98471,2.79621,1.62182,0.001406,0.001406,0.001406
5,2201.91,1.68833,1.88818,1.39834,0.32184,0.30501,0.23557,0.12365,1.78767,2.64598,1.49368,0.001208,0.001208,0.001208
6,2621.89,1.64769,1.76215,1.34604,0.46076,0.34081,0.33233,0.18947,1.70009,1.99505,1.40441,0.00101,0.00101,0.00101
7,3033.24,1.5601,1.63977,1.30069,0.53438,0.40511,0.40814,0.22935,1.63608,1.67112,1.32038,0.000812,0.000812,0.000812
8,3424.07,1.49578,1.51039,1.26463,0.60013,0.42336,0.45577,0.26192,1.5544,1.54245,1.28756,0.000614,0.000614,0.000614
9,3864.59,1.44569,1.44878,1.2437,0.61561,0.44734,0.48687,0.28301,1.50048,1.4673,1.24671,0.000416,0.000416,0.000416
10,4838.63,1.39475,1.35705,1.2126,0.63846,0.46611,0.5153,0.29449,1.45719,1.40209,1.22347,0.000218,0.000218,0.000218
