epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1248.77,1.36756,2.04252,1.19699,0.42511,0.37403,0.31702,0.18067,1.44423,2.04823,1.28977,0.000552711,0.000552711,0.000552711
2,7452.44,1.47219,1.81044,1.28526,0.38701,0.35865,0.31007,0.17092,1.54869,1.92907,1.37807,0.0010718,0.0010718,0.0010718
3,8871.11,1.49703,1.73951,1.29516,0.41232,0.37652,0.31063,0.17258,1.62779,1.99672,1.38115,0.00155422,0.00155422,0.00155422
4,9875.13,1.50008,1.73077,1.30743,0.4484,0.38327,0.35717,0.19904,1.53166,1.75868,1.32313,0.00150197,0.00150197,0.00150197
5,10903.8,1.45969,1.63768,1.28332,0.43136,0.35847,0.33952,0.20266,1.47327,1.78833,1.3011,0.00144696,0.00144696,0.00144696
6,11928.4,1.43152,1.57821,1.26538,0.4379,0.38319,0.34479,0.20197,1.42194,1.67531,1.27836,0.00139195,0.00139195,0.00139195
7,13064.3,1.40682,1.53884,1.25465,0.52591,0.41406,0.40113,0.23907,1.38924,1.61256,1.23146,0.00133693,0.00133693,0.00133693
8,14371.7,1.3871,1.50075,1.2393,0.46301,0.45561,0.39609,0.24069,1.38857,1.55195,1.24156,0.00128192,0.00128192,0.00128192
9,15760.3,1.3629,1.47339,1.22329,0.49071,0.40317,0.39786,0.24691,1.36439,1.5594,1.22573,0.00122691,0.00122691,0.00122691
10,16961.4,1.35418,1.4448,1.21647,0.48537,0.46328,0.42894,0.2562,1.36054,1.65444,1.23035,0.0011719,0.0011719,0.0011719
11,18083.6,1.31692,1.393,1.20358,0.48002,0.45152,0.41901,0.25377,1.33489,1.54348,1.20991,0.00111689,0.00111689,0.00111689
12,19059.6,1.32815,1.40241,1.2061,0.55742,0.43648,0.45067,0.2763,1.332,1.49218,1.20067,0.00106188,0.00106188,0.00106188
13,20085.2,1.30532,1.36613,1.20047,0.50812,0.48797,0.46603,0.28869,1.30794,1.41826,1.19556,0.00100687,0.00100687,0.00100687
14,21296.3,1.28478,1.32674,1.18415,0.54819,0.47052,0.46689,0.29484,1.28627,1.37365,1.18381,0.000951857,0.000951857,0.000951857
15,22406.4,1.25601,1.31152,1.17241,0.54009,0.47054,0.47895,0.29822,1.28767,1.3798,1.17859,0.000896846,0.000896846,0.000896846
16,23470.9,1.26113,1.29202,1.16552,0.54587,0.47196,0.47961,0.30172,1.30208,1.34821,1.17725,0.000841835,0.000841835,0.000841835
17,24624.2,1.25229,1.27178,1.16116,0.53462,0.47044,0.47321,0.28759,1.27798,1.40531,1.17345,0.000786824,0.000786824,0.000786824
18,25952.1,1.23631,1.25688,1.15854,0.54503,0.47701,0.47016,0.29458,1.25728,1.36271,1.16271,0.000731813,0.000731813,0.000731813
19,27058.5,1.22324,1.23798,1.14769,0.55125,0.50252,0.50113,0.31471,1.25734,1.34377,1.1574,0.000676802,0.000676802,0.000676802
20,28168.1,1.21803,1.2155,1.14777,0.55634,0.48342,0.50066,0.31628,1.25618,1.30427,1.15765,0.000621791,0.000621791,0.000621791
21,29396.3,1.20453,1.18935,1.13802,0.58841,0.48308,0.50439,0.319,1.2592,1.32271,1.15732,0.00056678,0.00056678,0.00056678
22,30573.5,1.19406,1.15159,1.1295,0.5695,0.49063,0.50113,0.31644,1.23278,1.3131,1.1532,0.000511769,0.000511769,0.000511769
