epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,231.661,1.41665,2.04935,1.24512,0.44666,0.37068,0.33982,0.1988,1.46008,1.85864,1.26292,0.000554926,0.000554926,0.000554926
2,450.671,1.51116,1.89043,1.31749,0.42037,0.35466,0.31196,0.17666,1.55098,1.83865,1.33209,0.0010886,0.0010886,0.0010886
3,661.517,1.54941,1.83304,1.34087,0.41784,0.40107,0.31975,0.17941,1.53941,1.93718,1.34647,0.00160028,0.00160028,0.00160028
4,865.966,1.54763,1.81189,1.33914,0.45686,0.37434,0.35959,0.20406,1.53713,1.79821,1.32181,0.00156798,0.00156798,0.00156798
5,1068.64,1.50108,1.73531,1.31861,0.44874,0.386,0.34894,0.20105,1.51264,1.71909,1.30248,0.00153497,0.00153497,0.00153497
6,1281.01,1.48599,1.68832,1.30845,0.47282,0.39079,0.36318,0.21478,1.48363,1.71142,1.2855,0.00150197,0.00150197,0.00150197
7,1493.36,1.45037,1.63809,1.28874,0.49969,0.3884,0.39213,0.23261,1.45176,1.60478,1.27425,0.00146896,0.00146896,0.00146896
8,1701.73,1.43441,1.62456,1.28387,0.54564,0.4109,0.41719,0.25154,1.43669,1.59755,1.28912,0.00143595,0.00143595,0.00143595
9,1907.25,1.42036,1.6052,1.27582,0.51238,0.39352,0.3964,0.24226,1.41939,1.57987,1.24453,0.00140295,0.00140295,0.00140295
10,2104.81,1.39309,1.55752,1.25824,0.49356,0.43115,0.42074,0.25207,1.41201,1.5377,1.25103,0.00136994,0.00136994,0.00136994
11,2313.32,1.3769,1.51887,1.24952,0.51922,0.42877,0.41738,0.25809,1.39012,1.54092,1.24854,0.00133693,0.00133693,0.00133693
12,2524.1,1.36758,1.51225,1.24716,0.53019,0.44219,0.43897,0.26737,1.37131,1.52168,1.23685,0.00130393,0.00130393,0.00130393
13,2723.13,1.35754,1.49299,1.24168,0.51574,0.43902,0.43809,0.27105,1.38397,1.49954,1.22465,0.00127092,0.00127092,0.00127092
14,2923,1.34931,1.46347,1.2253,0.52324,0.4439,0.45704,0.28812,1.33675,1.48876,1.20988,0.00123791,0.00123791,0.00123791
15,3121.05,1.33299,1.43859,1.22354,0.52165,0.46887,0.46005,0.28738,1.32567,1.43738,1.20652,0.00120491,0.00120491,0.00120491
16,3330.49,1.31836,1.42757,1.21409,0.54166,0.45826,0.46012,0.28639,1.34284,1.4147,1.21026,0.0011719,0.0011719,0.0011719
17,3543.04,1.31255,1.40751,1.21597,0.54444,0.46237,0.47589,0.29551,1.30774,1.43456,1.19893,0.00113889,0.00113889,0.00113889
18,3755.13,1.29768,1.3922,1.20328,0.59068,0.41213,0.46737,0.28527,1.34236,1.39902,1.21122,0.00110589,0.00110589,0.00110589
19,3957.07,1.2845,1.37402,1.18975,0.55719,0.4669,0.48523,0.30256,1.31885,1.38227,1.19728,0.00107288,0.00107288,0.00107288
20,4155.08,1.28577,1.35763,1.1913,0.54305,0.45974,0.4771,0.2956,1.31286,1.39048,1.19711,0.00103987,0.00103987,0.00103987
21,4354.75,1.28357,1.35231,1.19619,0.51716,0.49019,0.47623,0.29581,1.31326,1.38505,1.18771,0.00100687,0.00100687,0.00100687
22,4553.94,1.26731,1.3229,1.18113,0.51058,0.49229,0.47583,0.30008,1.29335,1.36211,1.18949,0.000973861,0.000973861,0.000973861
23,4753.29,1.25281,1.32794,1.17617,0.55927,0.46643,0.49419,0.31007,1.30912,1.35441,1.1781,0.000940855,0.000940855,0.000940855
24,4952.5,1.25358,1.31172,1.17614,0.53204,0.49927,0.48361,0.30538,1.28593,1.34904,1.17741,0.000907848,0.000907848,0.000907848
25,5151.78,1.24773,1.29999,1.17642,0.56354,0.45706,0.49651,0.31434,1.2807,1.3631,1.1705,0.000874842,0.000874842,0.000874842
26,5350.26,1.22604,1.27323,1.16476,0.55488,0.47077,0.49224,0.3161,1.28368,1.33814,1.17256,0.000841835,0.000841835,0.000841835
27,5549.17,1.22594,1.26404,1.17228,0.5348,0.50718,0.49195,0.3142,1.27632,1.31689,1.16052,0.000808828,0.000808828,0.000808828
28,5748.43,1.23259,1.26025,1.15758,0.5891,0.46429,0.49664,0.31651,1.27206,1.31182,1.16682,0.000775822,0.000775822,0.000775822
29,5948.04,1.22661,1.24612,1.15357,0.53602,0.49584,0.50561,0.32506,1.27236,1.3144,1.16509,0.000742815,0.000742815,0.000742815
30,6147.72,1.21598,1.23938,1.1569,0.59837,0.47272,0.51418,0.33533,1.26425,1.32634,1.16054,0.000709809,0.000709809,0.000709809
31,6347.48,1.20722,1.21006,1.14555,0.55464,0.48212,0.49856,0.32021,1.2714,1.30548,1.16342,0.000676802,0.000676802,0.000676802
32,6546.35,1.204,1.21979,1.14866,0.56968,0.50035,0.51937,0.33266,1.27139,1.28922,1.16036,0.000643795,0.000643795,0.000643795
33,6746.64,1.19297,1.2038,1.14025,0.5694,0.48706,0.51302,0.32863,1.25036,1.31718,1.15572,0.000610789,0.000610789,0.000610789
34,6945.77,1.19481,1.19997,1.1413,0.54051,0.50924,0.51542,0.33391,1.26695,1.29549,1.16305,0.000577782,0.000577782,0.000577782
35,7145.26,1.18437,1.17846,1.13125,0.5983,0.47024,0.51448,0.32648,1.26704,1.27974,1.1636,0.000544776,0.000544776,0.000544776
36,7343.67,1.17024,1.17142,1.13043,0.55922,0.50218,0.51863,0.33587,1.25827,1.28928,1.15755,0.000511769,0.000511769,0.000511769
37,7542.03,1.17277,1.16715,1.12936,0.55336,0.50412,0.51795,0.33346,1.23767,1.26911,1.14429,0.000478762,0.000478762,0.000478762
38,7740.76,1.16829,1.16158,1.12592,0.53232,0.52276,0.50709,0.33043,1.24438,1.2739,1.14592,0.000445756,0.000445756,0.000445756
39,7939.92,1.15659,1.12443,1.11164,0.54387,0.50212,0.51672,0.33574,1.23356,1.2606,1.1456,0.000412749,0.000412749,0.000412749
40,8137.42,1.15418,1.1374,1.12197,0.52227,0.52039,0.50531,0.32462,1.24832,1.31868,1.14617,0.000379743,0.000379743,0.000379743
41,8334.2,1.15779,1.10208,1.11623,0.59373,0.46883,0.50864,0.33053,1.24636,1.26304,1.14657,0.000346736,0.000346736,0.000346736
42,8530.27,1.14073,1.07402,1.10375,0.55762,0.49695,0.51076,0.3336,1.24728,1.28443,1.14827,0.000313729,0.000313729,0.000313729
43,8726.96,1.1301,1.0512,1.09937,0.56285,0.49517,0.50958,0.32953,1.24366,1.26578,1.14072,0.000280723,0.000280723,0.000280723
44,8924.5,1.12022,1.04206,1.08977,0.60856,0.48161,0.52393,0.34334,1.23269,1.24269,1.13795,0.000247716,0.000247716,0.000247716
45,9119.98,1.12299,1.03307,1.08933,0.56474,0.50018,0.51142,0.33576,1.22268,1.25252,1.13693,0.00021471,0.00021471,0.00021471
46,9315.75,1.11413,1.01804,1.08415,0.58078,0.48431,0.52206,0.34146,1.23095,1.25337,1.14402,0.000181703,0.000181703,0.000181703
47,9513.14,1.10062,1.00626,1.07996,0.56289,0.50539,0.51478,0.34018,1.22629,1.25293,1.13874,0.000148696,0.000148696,0.000148696
48,9708.71,1.09411,0.9975,1.07744,0.56805,0.49017,0.5233,0.34033,1.22798,1.25577,1.13646,0.00011569,0.00011569,0.00011569
49,9904.8,1.08693,0.99416,1.07132,0.59572,0.48461,0.52628,0.3437,1.22418,1.23709,1.13664,8.26832e-05,8.26832e-05,8.26832e-05
50,10101,1.0836,0.97251,1.06943,0.58769,0.48004,0.52462,0.3453,1.21899,1.24267,1.13655,4.96766e-05,4.96766e-05,4.96766e-05
