epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,515.503,1.33932,1.63545,1.23391,0.40548,0.38491,0.35277,0.20957,1.47727,1.71411,1.33106,0.000555222,0.000555222,0.000555222
2,977.666,1.5232,1.80454,1.36367,0.42056,0.39491,0.33846,0.19506,1.52172,1.70835,1.34374,0.00109989,0.00109989,0.00109989
3,1444.57,1.52918,1.79308,1.37662,0.48931,0.38522,0.37896,0.21403,1.49948,1.67795,1.33795,0.00163356,0.00163356,0.00163356
4,1909.8,1.49321,1.73626,1.34463,0.46085,0.43107,0.39459,0.23605,1.44457,1.66756,1.2863,0.00161749,0.00161749,0.00161749
5,2365.08,1.44808,1.64367,1.30974,0.48201,0.41112,0.41939,0.25227,1.43414,1.50015,1.29492,0.00160099,0.00160099,0.00160099
6,2823.65,1.40242,1.60093,1.29215,0.50461,0.41899,0.42126,0.25546,1.36413,1.48842,1.2439,0.00158448,0.00158448,0.00158448
7,3281.19,1.38441,1.56384,1.27601,0.50726,0.45266,0.45238,0.27658,1.34038,1.47574,1.23449,0.00156798,0.00156798,0.00156798
8,3736.39,1.34671,1.49655,1.25397,0.53196,0.45407,0.45686,0.27262,1.36656,1.4287,1.23856,0.00155148,0.00155148,0.00155148
9,4190.33,1.34186,1.47523,1.24715,0.5242,0.46981,0.4632,0.28256,1.34609,1.40808,1.23182,0.00153497,0.00153497,0.00153497
10,4645.8,1.31406,1.45766,1.24353,0.56135,0.46822,0.50031,0.31557,1.30008,1.3322,1.20949,0.00151847,0.00151847,0.00151847
11,5101.31,1.30342,1.4295,1.22884,0.54087,0.49455,0.49707,0.31289,1.30874,1.34885,1.1993,0.00150197,0.00150197,0.00150197
12,5554.27,1.29502,1.42735,1.22949,0.58735,0.48253,0.51138,0.32323,1.29683,1.30213,1.20539,0.00148546,0.00148546,0.00148546
13,6009.98,1.27601,1.38801,1.21472,0.55241,0.49966,0.49856,0.31952,1.29671,1.33319,1.22107,0.00146896,0.00146896,0.00146896
14,6464.19,1.26249,1.37143,1.20896,0.60693,0.47291,0.5149,0.32988,1.26641,1.26682,1.18199,0.00145246,0.00145246,0.00145246
15,6919.51,1.25745,1.3428,1.20274,0.5447,0.49191,0.50149,0.32178,1.25033,1.2694,1.17101,0.00143595,0.00143595,0.00143595
16,7372.09,1.25284,1.33017,1.19762,0.57139,0.51362,0.53041,0.32996,1.29171,1.271,1.19993,0.00141945,0.00141945,0.00141945
17,7827.64,1.23873,1.31237,1.1837,0.58982,0.50404,0.54103,0.34564,1.22016,1.25512,1.16544,0.00140295,0.00140295,0.00140295
18,8282.66,1.22432,1.2999,1.18385,0.62314,0.46941,0.52354,0.33325,1.24643,1.28144,1.17894,0.00138644,0.00138644,0.00138644
19,8735.7,1.22266,1.29103,1.18332,0.61233,0.49262,0.53685,0.34608,1.24397,1.24648,1.17557,0.00136994,0.00136994,0.00136994
20,9191.81,1.20797,1.26955,1.17223,0.57339,0.51407,0.54072,0.34815,1.22026,1.23426,1.15743,0.00135344,0.00135344,0.00135344
21,9647.06,1.20633,1.26011,1.16776,0.58485,0.51668,0.55071,0.35829,1.22339,1.23124,1.15361,0.00133693,0.00133693,0.00133693
22,10103.2,1.19462,1.24776,1.16858,0.59882,0.5041,0.54751,0.3566,1.21826,1.20078,1.15398,0.00132043,0.00132043,0.00132043
23,10556.8,1.18546,1.21645,1.15384,0.59551,0.53381,0.55439,0.35953,1.20589,1.20372,1.15108,0.00130393,0.00130393,0.00130393
24,11027.3,1.18289,1.22676,1.16302,0.57783,0.53675,0.54814,0.35781,1.22477,1.22334,1.16078,0.00128742,0.00128742,0.00128742
25,11481.4,1.18809,1.20362,1.15785,0.65358,0.48917,0.55486,0.36457,1.21907,1.1888,1.15463,0.00127092,0.00127092,0.00127092
26,11937,1.17715,1.19861,1.15364,0.59559,0.53824,0.54799,0.36301,1.1941,1.18596,1.13837,0.00125442,0.00125442,0.00125442
27,12391.9,1.17735,1.20306,1.15319,0.61897,0.50979,0.55419,0.3652,1.20785,1.20181,1.14817,0.00123791,0.00123791,0.00123791
28,12847.5,1.16289,1.18925,1.1419,0.61521,0.54423,0.56299,0.3688,1.20009,1.17627,1.14091,0.00122141,0.00122141,0.00122141
29,13305.1,1.15141,1.17079,1.14182,0.61711,0.52834,0.57505,0.38429,1.17885,1.15842,1.13528,0.00120491,0.00120491,0.00120491
30,13764.5,1.15056,1.16253,1.13904,0.64608,0.51356,0.58015,0.38334,1.21421,1.16446,1.14095,0.0011884,0.0011884,0.0011884
31,14229.9,1.13803,1.1524,1.13555,0.58836,0.53531,0.57187,0.38052,1.19617,1.1568,1.14643,0.0011719,0.0011719,0.0011719
32,14685.4,1.14088,1.14631,1.13242,0.65959,0.50791,0.58478,0.38234,1.18066,1.13476,1.13276,0.0011554,0.0011554,0.0011554
33,15165.2,1.13506,1.13643,1.12556,0.58395,0.55436,0.57852,0.3794,1.19388,1.14271,1.13573,0.00113889,0.00113889,0.00113889
34,15626.5,1.13866,1.13,1.12645,0.62503,0.53519,0.58295,0.38017,1.19097,1.13059,1.14294,0.00112239,0.00112239,0.00112239
35,16080.6,1.12495,1.12602,1.12044,0.64418,0.51245,0.57601,0.38132,1.18432,1.1258,1.13607,0.00110589,0.00110589,0.00110589
36,16534.7,1.11507,1.11477,1.12092,0.63187,0.54035,0.5817,0.38523,1.17702,1.12862,1.1318,0.00108938,0.00108938,0.00108938
37,16990,1.11123,1.10092,1.1128,0.63378,0.53787,0.59203,0.3911,1.18004,1.11456,1.13336,0.00107288,0.00107288,0.00107288
38,17446,1.10836,1.08794,1.10823,0.6386,0.51918,0.57625,0.38494,1.16892,1.13088,1.12343,0.00105638,0.00105638,0.00105638
39,17919.5,1.1096,1.09298,1.11589,0.61414,0.55582,0.58382,0.3875,1.17318,1.1288,1.12816,0.00103987,0.00103987,0.00103987
40,18373,1.09661,1.07312,1.10258,0.61916,0.55241,0.5841,0.39117,1.16983,1.1072,1.12391,0.00102337,0.00102337,0.00102337
41,18828.6,1.09733,1.08135,1.10501,0.65526,0.54779,0.59262,0.39891,1.15927,1.09626,1.119,0.00100687,0.00100687,0.00100687
42,19287.4,1.09766,1.06863,1.10583,0.64636,0.54797,0.59271,0.39428,1.16594,1.10745,1.12636,0.000990365,0.000990365,0.000990365
43,19756.2,1.09774,1.05077,1.10469,0.68723,0.53183,0.60468,0.4027,1.16621,1.10227,1.12768,0.000973861,0.000973861,0.000973861
44,20214.1,1.08796,1.04457,1.09734,0.639,0.55835,0.5954,0.40459,1.16247,1.09927,1.11749,0.000957358,0.000957358,0.000957358
45,20669.8,1.08498,1.04664,1.09782,0.63899,0.54789,0.59057,0.39739,1.16272,1.10922,1.12183,0.000940855,0.000940855,0.000940855
46,21123,1.0808,1.04479,1.09481,0.64767,0.55344,0.59197,0.40005,1.16002,1.09887,1.115,0.000924352,0.000924352,0.000924352
47,21576.4,1.07673,1.03222,1.09251,0.63131,0.55125,0.59537,0.40116,1.15575,1.10576,1.11648,0.000907848,0.000907848,0.000907848
48,22056.3,1.07291,1.03591,1.08881,0.62488,0.56436,0.59283,0.39829,1.15933,1.10746,1.12241,0.000891345,0.000891345,0.000891345
49,22560.7,1.0581,1.02398,1.08562,0.59579,0.57525,0.59732,0.40377,1.14603,1.08978,1.11537,0.000874842,0.000874842,0.000874842
50,23059.3,1.05765,1.00699,1.08365,0.62053,0.57407,0.60333,0.39841,1.16621,1.10571,1.12314,0.000858338,0.000858338,0.000858338
51,23514.1,1.06031,1.00154,1.08307,0.62869,0.57899,0.62011,0.41623,1.1581,1.0747,1.12237,0.000841835,0.000841835,0.000841835
52,23970.1,1.0583,1.00159,1.08079,0.6505,0.54183,0.60426,0.4042,1.15383,1.09356,1.11435,0.000825332,0.000825332,0.000825332
