epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1095.12,1.36756,2.04252,1.19699,0.42511,0.37403,0.31702,0.18067,1.44423,2.04823,1.28977,0.000552711,0.000552711,0.000552711
2,2140.33,1.47304,1.81974,1.28693,0.36518,0.31766,0.29593,0.16223,1.53559,2.02326,1.32971,0.00108095,0.00108095,0.00108095
3,3323.43,1.50407,1.75311,1.29339,0.4559,0.30612,0.29211,0.16593,1.61332,2.03708,1.39825,0.00158167,0.00158167,0.00158167
4,4393.1,1.49819,1.73732,1.30145,0.38548,0.37744,0.29831,0.17244,1.52569,1.86529,1.30393,0.00154323,0.00154323,0.00154323
5,19212.8,1.45511,1.63952,1.2785,0.45013,0.38861,0.35304,0.21113,1.45424,1.7106,1.27478,0.00150197,0.00150197,0.00150197
6,20162.9,1.43447,1.5899,1.26348,0.43915,0.38253,0.36242,0.21296,1.43343,1.70959,1.27414,0.00146071,0.00146071,0.00146071
7,21139.8,1.41116,1.55131,1.25895,0.47755,0.3979,0.38526,0.22817,1.42767,1.66563,1.28105,0.00141945,0.00141945,0.00141945
8,22120.9,1.39586,1.51578,1.2439,0.46842,0.43335,0.39951,0.23603,1.40683,1.65951,1.25877,0.00137819,0.00137819,0.00137819
9,23139.3,1.3768,1.50036,1.232,0.50573,0.4097,0.41501,0.25497,1.38762,1.51154,1.24617,0.00133693,0.00133693,0.00133693
10,24120.3,1.35113,1.45935,1.21542,0.42721,0.45422,0.40394,0.24162,1.39477,1.75139,1.2339,0.00129568,0.00129568,0.00129568
11,25097,1.33543,1.41531,1.21465,0.48636,0.46417,0.43657,0.26791,1.34196,1.48514,1.20999,0.00125442,0.00125442,0.00125442
12,27816.5,1.34556,1.42902,1.21611,0.53339,0.39884,0.41186,0.24217,1.37969,1.5704,1.23088,0.00121316,0.00121316,0.00121316
